"UF";"Cargo";"Votos válidos";"Vagas";"Quociente eleitoral (QE)";"Coligação";"Votos válidos coligação";"Vagas QP";"Eleitos por QP";"Eleitos por média"
"AC";"Deputado Federal";"424991";"8";"53124";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"218096";"4";"4";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PT / PSB / PHS / PC do B / DC";"77945";"1";"1";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB";"42546";"0";"0";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PDT";"41989";"0";"0";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PSL / PATRI / PSC";"37363";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"REDE";"6182";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"AVANTE";"530";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"PRTB";"340";"0";"0";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PT / PC do B";"61337";"3";"3";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PP / PMN / PPS / PTC / PR";"57127";"3";"3";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSD / MDB";"49144";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSDB / DEM";"45945";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PROS / PODE / PRB";"45519";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSOL / PV / PRP / PPL";"27782";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PDT";"26586";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"SOLIDARIEDADE";"20877";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSB";"19969";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSL / PATRI / PSC";"19548";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PMB / PHS";"19065";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PTB";"17698";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"DC / PRTB";"7250";"0";"0";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"REDE";"6164";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"MDB / PPS / PDT / PR / PTB / PT / PRTB / PODE / PRP / PSD / PMN / AVANTE";"699042";"4";"4";"1"
"AL";"Deputado Federal";"1458674";"9";"162075";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"610520";"3";"3";"1"
"AL";"Deputado Federal";"1458674";"9";"162075";"REDE";"54670";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"PSL / PATRI / PPL";"49529";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"PHS / DC / SOLIDARIEDADE";"14568";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"NOVO";"13103";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"PSOL / PCB";"8901";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"PC do B / PV";"7679";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"PSTU";"662";"0";"0";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"MDB / PR / PTB / PHS / PRP / PSD / SOLIDARIEDADE";"535526";"9";"9";"1"
"AL";"Deputado Estadual";"1495820";"27";"55401";"DEM / PTC / PSDB / PP / PSB / PSC / PROS / PRB";"394886";"7";"7";"1"
"AL";"Deputado Estadual";"1495820";"27";"55401";"PRTB / PPS / DC";"246069";"4";"4";"1"
"AL";"Deputado Estadual";"1495820";"27";"55401";"AVANTE / PDT / PODE / PMN";"121571";"2";"2";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"PSL / PATRI / PPL";"92153";"1";"1";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"PT / PV / PC do B";"84777";"1";"1";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"PSOL / PCB";"17450";"0";"0";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"REDE";"2634";"0";"0";"0"
"AL";"Deputado Estadual";"1495820";"27";"55401";"PSTU";"754";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PDT / PP / PV / PR / SOLIDARIEDADE / PTB / PHS / PSL";"615276";"2";"2";"2"
"AM";"Deputado Federal";"1762933";"8";"220367";"PSD / PRB / DEM / PTC / PSDB";"589443";"2";"2";"1"
"AM";"Deputado Federal";"1762933";"8";"220367";"PC do B / PT";"249291";"1";"1";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PODE / PMN / PSB / PROS";"132764";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"MDB / DC";"90585";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PPS / PPL / PRP / AVANTE";"40125";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"REDE / PSC / PRTB";"19159";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PSOL";"11287";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PATRI";"10508";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PMB";"3765";"0";"0";"0"
"AM";"Deputado Federal";"1762933";"8";"220367";"PSTU";"730";"0";"0";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PP / PR / PPL / SOLIDARIEDADE";"330197";"4";"4";"2"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PSD / PRB / DEM";"268474";"3";"3";"1"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PHS / PTB / PSL";"205065";"2";"2";"1"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PV";"188907";"2";"2";"1"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PDT / PRP / AVANTE";"140877";"1";"1";"1"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PPS";"105135";"1";"1";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PC do B / PT";"95328";"1";"1";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PSB / PMB / PROS";"91015";"1";"1";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PSDB / PTC";"86662";"1";"1";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"MDB / DC";"85198";"1";"1";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PODE";"62757";"0";"0";"1"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PMN";"46476";"0";"0";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"REDE / PSC / PRTB";"34615";"0";"0";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PATRI";"21292";"0";"0";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PSOL";"12070";"0";"0";"0"
"AM";"Deputado Estadual";"1775176";"24";"73966";"PSTU";"1108";"0";"0";"0"
"AP";"Deputado Federal";"364871";"8";"45609";"PDT / PC do B / MDB / PROS";"77939";"1";"1";"1"
"AP";"Deputado Federal";"364871";"8";"45609";"DEM / PSDB / PP / PSC / PSD / PATRI";"67351";"1";"1";"1"
"AP";"Deputado Federal";"364871";"8";"45609";"PPS / PHS / PR / PSL";"60854";"1";"1";"0"
"AP";"Deputado Federal";"364871";"8";"45609";"PRB / PTB / DC / PTC / PRP";"57220";"1";"1";"0"
"AP";"Deputado Federal";"364871";"8";"45609";"REDE / PPL / AVANTE / SOLIDARIEDADE / PODE";"53339";"1";"1";"0"
"AP";"Deputado Federal";"364871";"8";"45609";"PT / PSB";"32353";"0";"0";"1"
"AP";"Deputado Federal";"364871";"8";"45609";"PV / PMN / PSOL";"15060";"0";"0";"0"
"AP";"Deputado Federal";"364871";"8";"45609";"PSTU";"755";"0";"0";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PR / PHS";"51967";"3";"3";"1"
"AP";"Deputado Estadual";"381945";"24";"15914";"PDT / MDB / DC / PRB";"50303";"3";"3";"1"
"AP";"Deputado Estadual";"381945";"24";"15914";"DEM / PSDB / AVANTE";"42794";"2";"2";"1"
"AP";"Deputado Estadual";"381945";"24";"15914";"PROS / PTB / PMB";"33229";"2";"2";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"REDE / PPL";"32706";"2";"2";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"SOLIDARIEDADE / PSD";"26479";"1";"1";"1"
"AP";"Deputado Estadual";"381945";"24";"15914";"PTC";"26476";"1";"1";"1"
"AP";"Deputado Estadual";"381945";"24";"15914";"PC do B / PRP";"24284";"1";"1";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PP";"23842";"1";"1";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PV / PMN / PSOL";"21611";"1";"1";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PSC";"20473";"1";"1";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PSB";"18801";"1";"1";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PODE";"6238";"0";"0";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PPS / PSL";"1909";"0";"0";"0"
"AP";"Deputado Estadual";"381945";"24";"15914";"PSTU";"833";"0";"0";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PT / PC do B / PP / PSB / PSD / PR / PODE";"3587206";"20";"20";"3"
"BA";"Deputado Federal";"6868013";"39";"176103";"DEM / PRB / PV";"919124";"5";"5";"1"
"BA";"Deputado Federal";"6868013";"39";"176103";"PHS / PPS / PRTB / PSL";"556425";"3";"3";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"AVANTE / PROS";"424206";"2";"2";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PDT";"339264";"1";"1";"1"
"BA";"Deputado Federal";"6868013";"39";"176103";"PSC / PTB / SOLIDARIEDADE / PPL";"277049";"1";"1";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PSDB";"219247";"1";"1";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PMN / PTC / PRP / PMB";"156327";"0";"0";"1"
"BA";"Deputado Federal";"6868013";"39";"176103";"MDB / DC";"141859";"0";"0";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"REDE / PATRI";"109652";"0";"0";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PSOL";"68275";"0";"0";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"NOVO";"67699";"0";"0";"0"
"BA";"Deputado Federal";"6868013";"39";"176103";"PCO";"1680";"0";"0";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE";"3902322";"35";"35";"2"
"BA";"Deputado Estadual";"6971544";"63";"110659";"DEM / PRB / PV / PSDB";"1293578";"11";"11";"1"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PC do B";"514572";"4";"4";"1"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PSC / PTB / PPL";"388416";"3";"3";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PHS / PPS / PRTB / PSL";"310010";"2";"2";"1"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PATRI / REDE";"143780";"1";"1";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"MDB / DC";"119308";"1";"1";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PSOL";"112322";"1";"1";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"SOLIDARIEDADE";"94771";"0";"0";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PTC / PMN";"86803";"0";"0";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PROS";"4796";"0";"0";"0"
"BA";"Deputado Estadual";"6971544";"63";"110659";"PCO";"866";"0";"0";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"PDT / PTB / DEM / PSB / PRP / PPL";"1449637";"6";"6";"2"
"CE";"Deputado Federal";"4594520";"22";"208842";"PT / PC do B / PP / PV / PR / PMN";"1166238";"5";"5";"1"
"CE";"Deputado Federal";"4594520";"22";"208842";"MDB / PHS / AVANTE / SOLIDARIEDADE / PSD / PSC / PODE / PRB";"705666";"3";"3";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"PROS";"448211";"2";"2";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"PPS / PRTB / PATRI";"263142";"1";"1";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"PSDB";"244788";"1";"1";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"DC / PSL";"188432";"0";"0";"1"
"CE";"Deputado Federal";"4594520";"22";"208842";"PSOL";"66079";"0";"0";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"NOVO";"36326";"0";"0";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"REDE";"24761";"0";"0";"0"
"CE";"Deputado Federal";"4594520";"22";"208842";"PSTU";"1240";"0";"0";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PP / PDT / PR / DEM / PRP";"1734485";"17";"17";"2"
"CE";"Deputado Estadual";"4571231";"46";"99375";"MDB / PHS / AVANTE / SOLIDARIEDADE / PSD / PSC / PODE / PRB";"787156";"7";"7";"2"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PT / PV / PSB";"507832";"5";"5";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PATRI";"339611";"3";"3";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"DC / PSL";"235923";"2";"2";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PC do B / PTB";"218931";"2";"2";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PROS";"206086";"2";"2";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PSDB";"204419";"2";"2";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PPS / PRTB / PPL";"155165";"1";"1";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PSOL";"113159";"1";"1";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PMN";"62135";"0";"0";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"REDE";"4563";"0";"0";"0"
"CE";"Deputado Estadual";"4571231";"46";"99375";"PSTU";"1766";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"PSDB / PR / DEM";"257176";"1";"1";"1"
"DF";"Deputado Federal";"1439876";"8";"179984";"PRB / PODE / PPS / SOLIDARIEDADE / PSC / PSD";"253517";"1";"1";"1"
"DF";"Deputado Federal";"1439876";"8";"179984";"PSB / PV / PC do B / PDT / REDE";"193858";"1";"1";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"MDB / PP / PSL / AVANTE";"162875";"0";"0";"1"
"DF";"Deputado Federal";"1439876";"8";"179984";"PT";"130186";"0";"0";"1"
"DF";"Deputado Federal";"1439876";"8";"179984";"PRP / PRTB";"123116";"0";"0";"1"
"DF";"Deputado Federal";"1439876";"8";"179984";"PROS / PMB / PMN";"105063";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"PTB / PHS / PTC / PATRI";"91844";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"NOVO";"69492";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"PSOL / PCB";"37437";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"PPL";"10756";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"DC";"3676";"0";"0";"0"
"DF";"Deputado Federal";"1439876";"8";"179984";"PSTU";"880";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSB";"123457";"2";"2";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PRB / SOLIDARIEDADE";"97745";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"AVANTE";"94824";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSD / PODE";"92058";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PDT / PV";"91901";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PT";"90097";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PROS";"86917";"1";"1";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PP";"82554";"1";"1";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PR";"69291";"1";"1";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PMN / PTC";"68926";"1";"1";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"MDB";"68327";"1";"1";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSC";"61994";"1";"1";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"NOVO";"59149";"0";"0";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PC do B / REDE";"58900";"0";"0";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PRP / PRTB";"58180";"0";"0";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSOL / PCB";"49840";"0";"0";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PHS";"47404";"0";"0";"1"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PPS";"42621";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSDB / DEM / DC";"37725";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PMB / PATRI";"37699";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSL / PPL";"36031";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PTB";"21546";"0";"0";"0"
"DF";"Deputado Distrital";"1477566";"24";"61565";"PSTU";"380";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"PR / PRB / PSL";"506023";"2";"2";"1"
"ES";"Deputado Federal";"1933018";"10";"193302";"PP / PROS / PPS / PHS / PC do B";"369141";"1";"1";"1"
"ES";"Deputado Federal";"1933018";"10";"193302";"PSB / PV / PSC / AVANTE / PTC / PPL";"347947";"1";"1";"1"
"ES";"Deputado Federal";"1933018";"10";"193302";"PDT / DEM / PSD / PSDB / PRP / SOLIDARIEDADE";"309996";"1";"1";"1"
"ES";"Deputado Federal";"1933018";"10";"193302";"PT";"140398";"0";"0";"1"
"ES";"Deputado Federal";"1933018";"10";"193302";"PATRI / PMN / REDE / PODE / MDB";"138671";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"PTB / PMB";"60900";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"NOVO";"33808";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"PSOL / PCB";"15361";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"DC";"7597";"0";"0";"0"
"ES";"Deputado Federal";"1933018";"10";"193302";"PRTB";"3176";"0";"0";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PR / PRB / PSL";"327868";"5";"5";"1"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PSB / DC";"196862";"3";"3";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PDT / DEM / PPL / PSD";"177727";"2";"2";"1"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PSDB / PSC";"176864";"2";"2";"1"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PODE / PRTB / PMN / PATRI / REDE";"176531";"2";"2";"1"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PRP / PC do B";"146709";"2";"2";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"MDB";"142945";"2";"2";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PPS / AVANTE / PTC";"139909";"2";"2";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PP / PROS";"137503";"2";"2";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PV / SOLIDARIEDADE / PHS";"136765";"2";"2";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PT";"84240";"1";"1";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PTB / PMB";"81984";"1";"1";"0"
"ES";"Deputado Estadual";"1949567";"30";"64986";"PSOL / PCB";"23660";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"DEM / PROS / PRP / PDT / PSC / PODE";"850010";"4";"4";"2"
"GO";"Deputado Federal";"3031194";"17";"178306";"PSDB / PR / PSB / PPS / SOLIDARIEDADE / PTB / PSD";"829999";"4";"4";"1"
"GO";"Deputado Federal";"3031194";"17";"178306";"MDB / PRB / PP";"511833";"2";"2";"1"
"GO";"Deputado Federal";"3031194";"17";"178306";"PSL / DC";"380204";"2";"2";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PT / PC do B";"168253";"0";"0";"1"
"GO";"Deputado Federal";"3031194";"17";"178306";"PRTB / PTC / PMN / PMB";"141538";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PV / REDE / AVANTE / PATRI";"51291";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"NOVO";"41737";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PHS";"29749";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PSOL";"23085";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PCB";"2937";"0";"0";"0"
"GO";"Deputado Federal";"3031194";"17";"178306";"PCO";"558";"0";"0";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PSDB / PSB / PPS";"499511";"6";"6";"2"
"GO";"Deputado Estadual";"3084824";"41";"75240";"DEM / PTC / PMB / PSC";"389892";"5";"5";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"MDB / PRB";"358718";"4";"4";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PTB / PSD";"225326";"2";"2";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PROS";"191721";"2";"2";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PSL";"186331";"2";"2";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PODE / PRP";"184044";"2";"2";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PT / PC do B";"176141";"2";"2";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"DC";"150142";"1";"1";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"SOLIDARIEDADE";"149505";"1";"1";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PRTB / PMN";"130197";"1";"1";"1"
"GO";"Deputado Estadual";"3084824";"41";"75240";"AVANTE / PR / PV";"96516";"1";"1";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PP";"83207";"1";"1";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PATRI";"81240";"1";"1";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PDT";"80099";"1";"1";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PHS";"53666";"0";"0";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"REDE";"29018";"0";"0";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PSOL";"16961";"0";"0";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PCB";"1996";"0";"0";"0"
"GO";"Deputado Estadual";"3084824";"41";"75240";"PCO";"593";"0";"0";"0"
"MA";"Deputado Federal";"3270678";"18";"181704";"PC do B / PRB / PPS / SOLIDARIEDADE / PROS / PTC / PTB / PSB / DEM / AVANTE / PPL";"978070";"5";"5";"1"
"MA";"Deputado Federal";"3270678";"18";"181704";"PDT / PP / PR / PATRI";"866510";"4";"4";"1"
"MA";"Deputado Federal";"3270678";"18";"181704";"MDB / PV / PSD / PSC / PMB / PRP";"515476";"2";"2";"1"
"MA";"Deputado Federal";"3270678";"18";"181704";"PMN / PHS";"358529";"1";"1";"1"
